Year,Species,Easting,Northing,Age,Sex,Tnights
1,DOC200,1742535.873,5426900.447,NA,NA,60
1,DOC200,1742493.971,5426739.677,NA,NA,60
1,DOC200,1742512.228,5426467.847,NA,NA,60
1,DOC200,1742961.529,5427787.071,NA,NA,60
1,DOC200,1742826.572,5427682.596,NA,NA,60
1,DOC200,1742733.736,5427572.08,NA,NA,60
1,DOC200,1742680.859,5427488.062,NA,NA,60
1,DOC200,1742511.451,5427316.264,NA,NA,60
1,DOC200,1742486.176,5427174.959,NA,NA,60
1,DOC200,1742648.03,5427051.805,NA,NA,60
1,DOC200,1743485.096,5427269.134,NA,NA,60
1,VICTOR,1743138.743,5427490.778,NA,NA,60
1,VICTOR,1743161.218,5427385.628,NA,NA,60
1,VICTOR,1743286.143,5427354.472,NA,NA,60
1,VICTOR,1743385.949,5427356.98,NA,NA,60
1,VICTOR,1743292.824,5427241.323,NA,NA,60
1,DOC200,1743379.807,5427277.21,NA,NA,60
1,VICTOR,1743460.355,5427347.454,NA,NA,60
1,VICTOR,1742742.546,5427368.332,NA,NA,60
1,DOC200,1742655.66,5427394.48,NA,NA,60
1,VICTOR,1742562.488,5427403.739,NA,NA,60
1,VICTOR,1743167.598,5427012.87,NA,NA,60
1,DOC200,1743135.26,5427104.824,NA,NA,60
1,VICTOR,1743069.659,5427167.711,NA,NA,60
1,DOC200,1743053.163,5427265.622,NA,NA,60
1,VICTOR,1742995.109,5427306.829,NA,NA,60
1,DOC200,1742934.425,5427381.87,NA,NA,60
1,VICTOR,1742858.374,5427494.399,NA,NA,60
1,DOC200,1742841.505,5427442.041,NA,NA,60
1,VICTOR,1742771.678,5427433.117,NA,NA,60
1,DOC200,1743495.838,5428050.378,NA,NA,60
1,VICTOR,1743516.724,5427972.037,NA,NA,60
1,DOC200,1743605.423,5428052.601,NA,NA,60
1,VICTOR,1743671.026,5428002.865,NA,NA,60
1,VICTOR,1743626.943,5427955.236,NA,NA,60
1,DOC200,1743763.074,5426518.852,NA,NA,60
1,DOC200,1743768.552,5426585.434,NA,NA,60
1,DOC200,1743759.987,5426635.291,NA,NA,60
1,DOC200,1742774.974,5427086.217,NA,NA,60
1,DOC200,1742773.228,5426997.352,NA,NA,60
1,VICTOR,1742688.691,5427114.765,NA,NA,60
1,VICTOR,1742619.971,5427191.313,NA,NA,60
1,VICTOR,1742540.952,5427250.797,NA,NA,60
1,DOC200,1742717.665,5427417.077,NA,NA,60
1,DOC200,1742763.872,5427527.547,NA,NA,60
1,DOC200,1742815.968,5427617.489,NA,NA,60
1,DOC200,1743810.194,5426720.239,NA,NA,60
1,DOC200,1743744.38,5426800.322,NA,NA,60
1,DOC200,1743791.349,5426903.242,NA,NA,60
1,DOC200,1743716.218,5427012.159,NA,NA,60
1,DOC200,1743681.135,5427055.826,NA,NA,60
1,VICTOR,1743560.806,5427246.092,NA,NA,60
1,VICTOR,1743607.481,5427197.719,NA,NA,60
1,VICTOR,1743646.941,5427239.018,NA,NA,60
1,VICTOR,1743612.949,5427292.512,NA,NA,60
1,DOC200,1743621.072,5427383.33,NA,NA,60
